Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT (min),AvgCTAT (min),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value (INR),Payment_Mode,Ride Distance (km),Driver Ratings,Customer Rating
07-11-2025,22:09:50,BG-20251107-00001,Successful,CUST106190,Bike,Basavanagudi,JP Nagar,5.8,4.1,0,NA,0,NA,0,NA,32.21,,1.8,5,5
20-11-2025,22:05:57,BG-20251120-00002,Cancelled by Customer,CUST101365,Auto,Marathahalli,Kundalahalli,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,,NA,NA,NA
29-11-2025,19:47:40,BG-20251129-00003,Cancelled by Customer,CUST107735,Prime SUV,Hebbal,Whitefield,NA,NA,1,AC is not working,0,NA,0,NA,NA,,NA,NA,NA
15-11-2025,07:58:10,BG-20251115-00004,Successful,CUST103130,Bike,Nagarbhavi,Nagarbhavi,2.1,2.8,0,NA,0,NA,0,NA,35.34,,2.27,4.7,4.8
11-11-2025,00:23:27,BG-20251111-00005,Successful,CUST106603,eBike,Whitefield,Whitefield,2.7,2.2,0,NA,0,NA,0,NA,34.91,,2.25,4.5,4.4
08-11-2025,20:26:08,BG-20251108-00006,Successful,CUST107397,Prime SUV,Marathahalli,Marathahalli,4.8,3.1,0,NA,0,NA,0,NA,137.97,,1.76,4.8,5
29-11-2025,16:16:00,BG-20251129-00007,Cancelled by Customer,CUST104197,Prime SUV,Outer Ring Road,Frazer Town,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,,NA,NA,NA
21-11-2025,13:09:00,BG-20251121-00008,Successful,CUST101384,Mini,Sadashivanagar,Srirampura,5.7,3.5,0,NA,0,NA,0,NA,58.57,,0.3,4.2,4.6
07-11-2025,04:56:34,BG-20251107-00009,Successful,CUST103262,Bike,Malleshwaram,Domlur,2.4,4.4,0,NA,0,NA,0,NA,39.01,,0.81,4.9,4.5
26-11-2025,05:31:21,BG-20251126-00010,Cancelled by Driver,CUST106541,eBike,Sadashivanagar,Indiranagar,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,,NA,NA,NA
19-11-2025,23:58:12,BG-20251119-00011,Successful,CUST105615,Bike,Rajajinagar,Malleshwaram,3.5,3.7,0,NA,0,NA,0,NA,27.08,,0.3,4.3,4.5
23-11-2025,13:48:23,BG-20251123-00012,Successful,CUST101333,Bike,Yelahanka New Town,Jayanagar,2,4.9,0,NA,0,NA,0,NA,21.8,,0.3,4.9,4.4
11-11-2025,12:19:14,BG-20251111-00013,Cancelled by Driver,CUST104408,Prime SUV,Rajajinagar,Cunningham Road,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,,NA,NA,NA
11-11-2025,21:47:42,BG-20251111-00014,Successful,CUST104174,Prime Sedan,Outer Ring Road,Jakkur,8.6,2.7,0,NA,0,NA,0,NA,115.15,UPI,2.35,4.7,5
24-11-2025,03:59:50,BG-20251124-00015,Successful,CUST105698,Mini,Electronic City,Kengeri,7.2,3.3,0,NA,0,NA,0,NA,58.65,Cash,0.3,4.7,3.9
21-11-2025,07:35:07,BG-20251121-00016,Cancelled by Customer,CUST102228,Auto,Whitefield,Hebbal,NA,NA,1,Wrong Address,0,NA,0,NA,NA,Wallet,NA,NA,NA
04-11-2025,06:48:22,BG-20251104-00017,Successful,CUST102626,Bike,Adugodi,Kudlu Gate,2.9,4.2,0,NA,0,NA,0,NA,87.5,Wallet,9.58,4.8,3.3
08-11-2025,06:14:46,BG-20251108-00018,Successful,CUST102239,Bike,Bommanahalli,Vijayanagar,5.6,5.1,0,NA,0,NA,0,NA,47.41,Cash,4.12,5,5
24-11-2025,10:37:38,BG-20251124-00019,Successful,CUST104746,Mini,Bellandur,Lalbagh,4,2.9,0,NA,0,NA,0,NA,50.57,UPI,0.88,4,4.1
03-11-2025,16:01:56,BG-20251103-00020,Successful,CUST107006,Prime Sedan,Koramangala,Rajankunte,6.2,4.5,0,NA,0,NA,0,NA,92.28,UPI,1.37,4.5,5
22-11-2025,22:38:14,BG-20251122-00021,Successful,CUST104355,eBike,Yeshwanthpur,Whitefield,6.9,2.3,0,NA,0,NA,0,NA,70.69,Credit Card,9.21,5,4
21-11-2025,22:59:28,BG-20251121-00022,Cancelled by Driver,CUST100465,Prime SUV,Koramangala 4th Block,Whitefield,NA,NA,0,NA,1,Customer related issue,0,NA,NA,UPI,NA,NA,NA
02-11-2025,02:59:08,BG-20251102-00023,Successful,CUST107077,Prime Plus,Nagarbhavi,Rajajinagar,7.5,3.5,0,NA,0,NA,0,NA,184.18,Cash,7.88,4.4,4.5
24-11-2025,17:26:25,BG-20251124-00024,Successful,CUST104075,Prime Sedan,Rajajinagar,Chamarajpet,4.8,5.3,0,NA,0,NA,0,NA,74.99,Wallet,0.85,5,4.4
12-11-2025,21:07:30,BG-20251112-00025,Cancelled by Driver,CUST106807,eBike,Byatarayanapura,Lalbagh,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,UPI,NA,NA,NA
30-11-2025,06:18:58,BG-20251130-00026,Successful,CUST106015,Bike,Bellandur,Outer Ring Road,3.6,3.3,0,NA,0,NA,0,NA,29.79,Credit Card,1.44,3.9,4.5
06-11-2025,20:37:11,BG-20251106-00027,Successful,CUST104983,Auto,Byatarayanapura,Sadashivanagar,3.6,3.8,0,NA,0,NA,0,NA,45.27,Wallet,2.36,4.8,4.8
02-11-2025,20:26:46,BG-20251102-00028,Cancelled by Customer,CUST100605,Mini,Frazer Town,Koramangala,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,UPI,NA,NA,NA
28-11-2025,11:34:22,BG-20251128-00029,Successful,CUST105959,Prime Plus,Kengeri,Jakkur,8.6,3.5,0,NA,0,NA,0,NA,78.58,UPI,0.56,5,4.4
21-11-2025,22:50:34,BG-20251121-00030,Cancelled by Driver,CUST105295,Prime SUV,Domlur,Hombegowda Nagar,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Cash,NA,NA,NA
01-11-2025,04:12:03,BG-20251101-00031,Successful,CUST102172,Prime Plus,Koramangala,Koramangala,4,3,0,NA,0,NA,0,NA,83.97,Credit Card,1.32,3.8,4.2
12-11-2025,07:06:56,BG-20251112-00032,Successful,CUST100949,Prime Sedan,Indiranagar,Koramangala 4th Block,4.6,2.8,0,NA,0,NA,0,NA,130.69,Wallet,2.5,4.3,4.4
26-11-2025,03:06:22,BG-20251126-00033,Successful,CUST105696,Prime Sedan,Banashankari,Rajajinagar,7.9,6.6,0,NA,0,NA,0,NA,103.84,Credit Card,1.21,4.6,4.8
22-11-2025,17:13:33,BG-20251122-00034,Successful,CUST102985,Prime SUV,Peenya,MG Road,4.2,4.2,0,NA,0,NA,0,NA,154.43,UPI,2.09,4.2,4.3
29-11-2025,08:42:11,BG-20251129-00035,Cancelled by Customer,CUST107886,Prime Plus,Rajajinagar,Banaswadi,NA,NA,1,Change of plans,0,NA,0,NA,NA,UPI,NA,NA,NA
12-11-2025,12:48:18,BG-20251112-00036,Successful,CUST105265,Prime Sedan,Koramangala 4th Block,Kengeri,7.9,3.3,0,NA,0,NA,0,NA,176.22,Cash,5.65,3.8,5
25-11-2025,07:15:28,BG-20251125-00037,Cancelled by Driver,CUST103030,Auto,Electronic City,Kalyan Nagar,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Credit Card,NA,NA,NA
17-11-2025,08:45:56,BG-20251117-00038,Successful,CUST107148,Prime SUV,Richmond Town,Hebbal,8.9,2.8,0,NA,0,NA,0,NA,154.12,Cash,1.86,3.8,4.3
27-11-2025,06:04:36,BG-20251127-00039,Successful,CUST106653,Prime SUV,Basavanagudi,Domlur,7.2,5.7,0,NA,0,NA,0,NA,148.84,UPI,2.14,4.2,4.8
27-11-2025,02:29:09,BG-20251127-00040,Successful,CUST102530,Prime Sedan,Byatarayanapura,Kengeri,6.9,2,0,NA,0,NA,0,NA,77.32,Credit Card,0.3,4.5,4.4
10-11-2025,14:26:02,BG-20251110-00041,Successful,CUST106195,Prime Sedan,Chamarajpet,HSR Layout,9.2,4.7,0,NA,0,NA,0,NA,88.62,Cash,1.07,4.9,5
28-11-2025,19:46:46,BG-20251128-00042,Successful,CUST103438,Prime SUV,Sirsi Circle,Srirampura,6.9,2,0,NA,0,NA,0,NA,155.28,Cash,2.47,4.7,5
28-11-2025,06:41:39,BG-20251128-00043,Successful,CUST100714,Auto,Basavanagudi,Yeshwanthpur,4.8,4.4,0,NA,0,NA,0,NA,54.45,Credit Card,4.69,4,4.9
16-11-2025,03:31:56,BG-20251116-00044,Successful,CUST101860,Prime Plus,Sadashivanagar,Rajajinagar,10.7,2.4,0,NA,0,NA,0,NA,73.55,UPI,0.3,4.6,4.5
15-11-2025,14:36:51,BG-20251115-00045,Cancelled by Customer,CUST107036,Mini,Whitefield 2,Peenya,NA,NA,1,Wrong Address,0,NA,0,NA,NA,Credit Card,NA,NA,NA
30-11-2025,10:48:05,BG-20251130-00046,Successful,CUST106660,Prime Plus,MG Road,Kudlu Gate,5.6,4.2,0,NA,0,NA,0,NA,180.72,Wallet,8.21,5,4.6
30-11-2025,14:45:44,BG-20251130-00047,Successful,CUST101088,Prime Plus,Bommanahalli,Banaswadi,5,0.9,0,NA,0,NA,0,NA,79.82,Cash,0.62,4.6,4.4
15-11-2025,18:07:00,BG-20251115-00048,Successful,CUST106309,Prime Sedan,Kengeri,Whitefield,6.5,1.2,0,NA,0,NA,0,NA,76.94,Credit Card,0.79,4.7,4.9
