Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT (min),AvgCTAT (min),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value (INR),Ride Distance (km),Driver Rating,Customer Rating,Payment Mode
2025-11-07,22:09:50,BG-20251107-00001,Successful,CUST106190,Bike,Basavanagudi,JP Nagar,5.8,4.1,0,,0,,0,,32.21,1.8,5.0,5.0,UPI
2025-11-20,22:05:57,BG-20251120-00002,Cancelled by Customer,CUST101365,Mini,Kundalahalli,Kundalahalli,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Cash
2025-11-29,19:47:40,BG-20251129-00003,Cancelled by Customer,CUST107735,Mini,Whitefield,Bellandur,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Wallet
2025-11-15,07:58:10,BG-20251115-00004,Successful,CUST103130,Auto,Koramangala 4th Block,Whitefield,2.1,2.8,0,,0,,0,,44.88,2.27,4.7,4.8,Wallet
2025-11-11,00:23:27,BG-20251111-00005,Successful,CUST106603,Mini,Malleshwaram,Sirsi Circle,4.2,2.2,0,,0,,0,,80.41,2.25,4.5,4.4,Cash
2025-11-08,20:26:08,BG-20251108-00006,Successful,CUST107397,Prime SUV,Lalbagh,Sadashivanagar,4.3,3.1,0,,0,,0,,137.97,1.76,4.8,5.0,UPI
2025-11-29,16:16:00,BG-20251129-00007,Cancelled by Customer,CUST104197,Mini,Marathahalli,Byatarayanapura,,,1,Change of plans,0,,0,,,,,,UPI
2025-11-21,13:09:00,BG-20251121-00008,Successful,CUST101384,eBike,Sadashivanagar,Indiranagar,4.6,3.5,0,,0,,0,,24.77,0.3,4.2,4.6,Credit Card
2025-11-07,04:56:34,BG-20251107-00009,Successful,CUST103262,Bike,Rajajinagar,Malleshwaram,2.4,4.4,0,,0,,0,,39.01,0.81,4.9,4.5,UPI
2025-11-26,05:31:21,BG-20251126-00010,Cancelled by Driver,CUST106541,Bike,Sadashivanagar,Rajajinagar,,,0,,1,The customer was coughing/sick,0,,,,,,Cash
2025-11-19,23:58:12,BG-20251119-00011,Successful,CUST105615,Prime Sedan,Outer Ring Road,Jakkur,5.4,3.7,0,,0,,0,,89.78,0.3,4.3,4.5,Wallet
2025-11-23,13:48:23,BG-20251123-00012,Successful,CUST101333,Prime Plus,Kengeri,Hebbal,3.3,4.9,0,,0,,0,,72.34,0.3,4.9,4.4,UPI
2025-11-11,12:19:14,BG-20251111-00013,Cancelled by Driver,CUST104408,Prime Plus,Bellandur,Shivajinagar,,,0,,1,The customer was coughing/sick,0,,,,,,Credit Card
2025-11-11,21:47:42,BG-20251111-00014,Successful,CUST104174,Bike,Bommanahalli,Vijayanagar,5.6,2.7,0,,0,,0,,34.0,2.35,4.7,5.0,Wallet
2025-11-24,03:59:50,BG-20251124-00015,Successful,CUST105698,Prime Sedan,Lalbagh,Domlur,8.4,3.3,0,,0,,0,,89.55,0.3,4.7,3.9,UPI
2025-11-21,07:35:07,BG-20251121-00016,Cancelled by Customer,CUST102228,Bike,Shivajinagar,Chamarajpet,,,1,Driver asked to cancel,0,,0,,,,,,UPI
2025-11-04,06:48:22,BG-20251104-00017,Successful,CUST102626,Bike,Koramangala 4th Block,Whitefield,2.9,4.2,0,,0,,0,,87.5,9.58,4.8,3.3,Cash
2025-11-08,06:14:46,BG-20251108-00018,Successful,CUST102239,Prime Plus,Nagarbhavi,Rajajinagar,8.2,5.1,0,,0,,0,,130.37,4.12,5.0,5.0,Credit Card
2025-11-24,10:37:38,BG-20251124-00019,Successful,CUST104746,Prime Plus,Chamarajpet,Jakkur,4.9,2.9,0,,0,,0,,72.33,0.88,4.0,4.1,Wallet
2025-11-03,16:01:56,BG-20251103-00020,Successful,CUST107006,Bike,Whitefield 2,Domlur,3.7,4.5,0,,0,,0,,28.22,1.37,4.5,5.0,Credit Card
2025-11-22,22:38:14,BG-20251122-00021,Successful,CUST104355,Bike,Bellandur,Outer Ring Road,6.9,2.3,0,,0,,0,,72.69,9.21,5.0,4.0,UPI
2025-11-21,22:59:28,BG-20251121-00022,Cancelled by Driver,CUST100465,Mini,Sadashivanagar,MG Road,,,0,,1,Customer related issue,0,,,,,,UPI
2025-11-02,02:59:08,BG-20251102-00023,Successful,CUST107077,eBike,Frazer Town,Byatarayanapura,4.7,3.5,0,,0,,0,,69.14,7.88,4.4,4.5,Cash
2025-11-24,17:26:25,BG-20251124-00024,Successful,CUST104075,Mini,Hombegowda Nagar,Vijayanagar,4.3,5.3,0,,0,,0,,42.44,0.85,5.0,4.4,Credit Card
2025-11-12,21:07:30,BG-20251112-00025,Cancelled by Driver,CUST106807,Prime SUV,Hombegowda Nagar,Marathahalli,,,0,,1,Personal & Car related issues,0,,,,,,Cash
2025-11-30,06:18:58,BG-20251130-00026,Successful,CUST106015,Prime Sedan,Koramangala,Jayanagar,5.5,3.3,0,,0,,0,,102.75,1.44,3.9,4.5,UPI
2025-11-06,20:37:11,BG-20251106-00027,Successful,CUST104983,Prime Plus,Banaswadi,Banashankari,5.5,3.8,0,,0,,0,,104.43,2.36,4.8,4.8,Credit Card
2025-11-02,20:26:46,BG-20251102-00028,Cancelled by Customer,CUST100605,Auto,Indiranagar,Rajajinagar,,,1,Driver asked to cancel,0,,0,,,,,,Cash
2025-11-28,11:34:22,BG-20251128-00029,Successful,CUST105959,Prime Sedan,Seshadripuram,Electronic City,8.1,3.5,0,,0,,0,,89.14,0.56,5.0,4.4,Cash
2025-11-21,22:50:34,BG-20251121-00030,Cancelled by Driver,CUST105295,Prime Plus,Rajajinagar,Indiranagar,,,0,,1,Personal & Car related issues,0,,,,,,Credit Card
2025-11-01,04:12:03,BG-20251101-00031,Successful,CUST102172,Auto,Richmond Town,Hebbal,2.1,3.0,0,,0,,0,,31.05,1.32,3.8,4.2,UPI
2025-11-12,07:06:56,BG-20251112-00032,Successful,CUST100949,Prime Sedan,Ulsoor,Bellandur,4.1,2.8,0,,0,,0,,130.69,2.5,4.3,4.4,Credit Card
2025-11-26,03:06:22,BG-20251126-00033,Successful,CUST105696,Prime SUV,Peenya,Chamarajpet,7.4,6.6,0,,0,,0,,139.89,1.21,4.6,4.8,Wallet
2025-11-22,17:13:33,BG-20251122-00034,Successful,CUST102985,eBike,Jayanagar,Basavanagudi,2.3,4.2,0,,0,,0,,33.17,2.09,4.2,4.3,Cash
2025-11-29,08:42:11,BG-20251129-00035,Cancelled by Customer,CUST107886,Prime SUV,Rajajinagar,Rajajinagar,,,1,Change of plans,0,,0,,,,,,Credit Card
2025-11-12,12:48:18,BG-20251112-00036,Successful,CUST105265,eBike,Kengeri,MG Road,5.1,3.3,0,,0,,0,,63.37,5.65,3.8,5.0,Cash
2025-11-25,07:15:28,BG-20251125-00037,Cancelled by Driver,CUST103030,Prime SUV,Bommanahalli,Banaswadi,,,0,,1,Customer related issue,0,,,,,,Credit Card
2025-11-17,08:45:56,BG-20251117-00038,Successful,CUST107148,Auto,Nagarbhavi,Sadashivanagar,5.8,2.8,0,,0,,0,,46.8,1.86,3.8,4.3,Cash
2025-11-27,06:04:36,BG-20251127-00039,Successful,CUST106653,Prime SUV,Gottigere,Shivajinagar,6.7,5.7,0,,0,,0,,148.84,2.14,4.2,4.8,Cash
2025-11-27,02:29:09,BG-20251127-00040,Successful,CUST102530,eBike,JP Nagar,Sadashivanagar,4.3,2.0,0,,0,,0,,19.8,0.3,4.5,4.4,UPI
2025-11-10,14:26:02,BG-20251110-00041,Successful,CUST106195,Prime Plus,Gottigere,Marathahalli,8.7,4.7,0,,0,,0,,77.55,1.07,4.9,5.0,Credit Card
2025-11-28,19:46:46,BG-20251128-00042,Successful,CUST103438,Mini,Rajankunte,Byatarayanapura,6.4,2.0,0,,0,,0,,75.52,2.47,4.7,5.0,Credit Card
2025-11-28,06:41:39,BG-20251128-00043,Successful,CUST100714,Bike,Whitefield 2,Jakkur,4.8,4.4,0,,0,,0,,40.07,4.69,4.0,4.9,Wallet
2025-11-16,03:31:56,BG-20251116-00044,Successful,CUST101860,Mini,Yelahanka,Shivajinagar,10.2,2.4,0,,0,,0,,52.95,0.3,4.6,4.5,UPI
